               table_name                |      column_name       | data_type |       fk_column        |    foreign_table_name     | foreign_column_name 
 migration_staging_records               | organization_id        | uuid      | organization_id        | organizations             | id
 migration_staging_records               | run_id                 | uuid      | run_id                 | migration_runs            | id
 mkb10_auto_directories                  | organization_id        | uuid      | organization_id        | organizations             | id
 ndfl_tax_calculators                    | organization_id        | uuid      | organization_id        | organizations             | id
 non_dental_examination_forms            | organization_id        | uuid      | organization_id        | organizations             | id
 patient_archive_reasons_and_blacklists  | organization_id        | uuid      | organization_id        | organizations             | id
 patient_communication_consents          | decided_by_user_id     | uuid      | decided_by_user_id     | users                     | id
 patient_communication_consents          | organization_id        | uuid      | organization_id        | organizations             | id
 patient_communication_consents          | patient_id             | uuid      | patient_id             | patients                  | id
 patient_communication_timelines         | organization_id        | uuid      | organization_id        | organizations             | id
 patient_consents                        | organization_id        | uuid      | organization_id        | organizations             | id
 patient_consents                        | patient_id             | uuid      | patient_id             | patients                  | id
 patient_ct_plannings                    | organization_id        | uuid      | organization_id        | organizations             | id
 patient_ct_plannings                    | patient_id             | uuid      | patient_id             | patients                  | id
 patient_duplicate_merge_queues          | organization_id        | uuid      | organization_id        | organizations             | id
 patient_invoices                        | organization_id        | uuid      | organization_id        | organizations             | id
 patient_invoices                        | patient_id             | uuid      | patient_id             | patients                  | id
 patient_reclamations                    | organization_id        | uuid      | organization_id        | organizations             | id
 patient_service_lineages                | organization_id        | uuid      | organization_id        | organizations             | id
 patient_task_tickets                    | organization_id        | uuid      | organization_id        | organizations             | id
 patients                                | organization_id        | uuid      | organization_id        | organizations             | id
 payments                                | organization_id        | uuid      | organization_id        | organizations             | id
 payments                                | patient_id             | uuid      | patient_id             | patients                  | id
 payments                                | visit_id               | uuid      | visit_id               | visits                    | id
 portal_otp_codes                        | organization_id        | uuid      | organization_id        | organizations             | id
 portal_otp_codes                        | patient_id             | uuid      | patient_id             | patients                  | id
 previous_chat_dialog_histories          | organization_id        | uuid      | organization_id        | organizations             | id
 pricelist_doctor_payrolls               | organization_id        | uuid      | organization_id        | organizations             | id
 procedure_material_rules                | organization_id        | uuid      | organization_id        | organizations             | id
 prodoctorov_sync_exports                | organization_id        | uuid      | organization_id        | organizations             | id
 protocol_templates                      | organization_id        | uuid      | organization_id        | organizations             | id
 quick_appointment_confirmations         | organization_id        | uuid      | organization_id        | organizations             | id
 rebooking_conversion_rules              | organization_id        | uuid      | organization_id        | organizations             | id
 recent_patient_history                  | organization_id        | uuid      | organization_id        | organizations             | id
 recent_patient_history                  | patient_id             | uuid      | patient_id             | patients                  | id
 sberbank_transactions                   | organization_id        | uuid      | organization_id        | organizations             | id
 schedule_clipboard_items                | organization_id        | uuid      | organization_id        | organizations             | id
 schedule_time_reservations              | organization_id        | uuid      | organization_id        | organizations             | id
 service_catalog_items                   | organization_id        | uuid      | organization_id        | organizations             | id
 services                                | organization_id        | uuid      | organization_id        | organizations             | id
 single_session_enforcements             | organization_id        | uuid      | organization_id        | organizations             | id
 sterilization_logs                      | organization_id        | uuid      | organization_id        | organizations             | id
 system_ram_watchdogs                    | organization_id        | uuid      | organization_id        | organizations             | id
 tooth_state_history                     | organization_id        | uuid      | organization_id        | organizations             | id
 tooth_state_history                     | patient_id             | uuid      | patient_id             | patients                  | id
 tooth_states                            | organization_id        | uuid      | organization_id        | organizations             | id
 tooth_states                            | patient_id             | uuid      | patient_id             | patients                  | id
 treatment_items                         | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_items                         | patient_id             | uuid      | patient_id             | patients                  | id
 treatment_items                         | planned_chair_id       | uuid      | planned_chair_id       | chairs                    | id
 treatment_items                         | planned_doctor_user_id | uuid      | planned_doctor_user_id | users                     | id
 treatment_items                         | service_id             | uuid      | service_id             | service_catalog_items     | id
 treatment_items                         | visit_id               | uuid      | visit_id               | visits                    | id
